"priority","gap_id","affected_model_fields","current_symptom","missing_measurement","candidate_source","source_type","url","data_to_extract","use_for","fit_risk","next_step"
"P0","forward_flow_tyto_wind","axialFlowLoss; rotor drag; prop advance response","Need isolated forward-flight prop data up to FPV speed range. Static Tyto pages have no wind-speed column; Tyto article-level wind-tunnel lead has endpoint ratios but no raw 5-inch curve rows.","Prop stand tests with wind speed and CSV export.","Tyto Robotics Windshaper/Flight Stand workflows","manuals + possible data leads","https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed","CSV fields, speed, RPM, thrust, torque, current","Lead for dynamic prop test protocols and datasets","May describe workflow or article-level ratios rather than public raw data","Initial Tyto static packet done in docs/data/tyto_5in_static_prop_packet.csv and wind-tunnel lead done in docs/data/tyto_wind_tunnel_lead_packet.csv; next find true 5-inch wind-on-thrust-stand rows with wind speed, RPM, thrust, torque/current, and voltage"
"P0","lipo_esr_lipo_eis","batteryInternalResistanceOhms; SOC/SOH resistance lookup","Existing absolute FPV ESR anchors are field measurements; SOC/SOH shape sources are mostly cylindrical Li-ion, but the new handoff packet keeps the separation explicit.","LiPo EIS/ECM resistance versus SOC/SOH.","LiPo batteries dataset: capacity, EIS, and equivalent-circuit fits","open article + dataset lead","https://pmc.ncbi.nlm.nih.gov/articles/PMC10518458/","EIS fitted R0/Rct versus SOC and aging state","LiPo-specific normalized resistance shape","Small LiPo cells and EIS frequency domain, not FPV high-C loaded sag","Initial handoff done in docs/data/fpv_lipo_esr_calibration_packet.csv; next find direct FPV pouch loaded-step/DCIR data"
"P0","lipo_esr_high_c_temperature","batteryInternalResistanceOhms; maxBatteryCurrentAmps; temperature derating","Current cold/hot shapes are directionally plausible and now summarized in the ESR handoff packet; absolute FPV pouch ESR sweep is still missing.","4S/6S high-C pouch pack DCIR/loaded-step ESR versus SOC and temperature.","Mendeley C-rate/temperature + NASA/Figshare high-current EIS + Oscar/Jeffco field IR","mixed datasets + field rows","https://data.mendeley.com/datasets/kxsbr4x3j2/2","Voltage/current/temperature curves, EIS or charger IR, C-rate metadata","Shape priors and hobby-scale absolute anchors","Chemistry/cell-format mismatch; charger IR is not lab ESR","Use docs/data/fpv_lipo_esr_calibration_packet.csv for current tuning; continue searching for high-C FPV pouch multi-temperature step tests"
"P1","surface_ground_zju","groundEffectHeightMeters; groundEffectMaxThrustBoost; rotor-drag near ground","Current ground-effect thrust and near-ground drag are only partly matched to equation-level sources.","Force platform and flight-test rows versus height and rotor state.","ZJU-FAST-Lab Ground-effect-controller + JIRS 2024 supplement","open code/repo + paper data","https://github.com/ZJU-FAST-Lab/Ground-effect-controller","ground-effect model coefficients, rotor drag ratio, height/R, raw Fz versus distance","Ground-effect thrust and drag packet refinement","Need map paper notation to project axes and clearance; JIRS prop scale differs from current presets","Initial ZJU rows done in docs/data/surface_nearfield_calibration_packet.csv; JIRS raw and curve-fit rows done in docs/data/surface_jirs2024_effect_packet.csv and docs/data/surface_jirs2024_curve_fit_packet.csv; next keep ZJU rotor-drag separate and decide runtime ground/ceiling blend target"
"P1","surface_ground_partial","ground/wall obstruction; partial-ground escape","Initial abstract-level partial-surface thresholds are now captured, but raw figure/table digitization is still needed for high-speed/partial-ground effects.","Thrust multiplier and attitude/position response versus partial ground coverage.","Sanchez-Cuevas ground-effect characterization; Cai/Gunasekaran/Ol partial ground and partial ceiling","papers","https://soar.wichita.edu/items/20c3f481-4556-41fa-8c79-a4b0b6d3c620","h/R, overlap/partial-ground geometry, lift change, finite plate diameter/D","Digitized h/R and partial-ground calibration rows; area-gating threshold for ledges/holes","Figure digitization precision; vehicle geometry differs; SOAR item exposes abstract but not full-text bundle","Initial threshold packet done in docs/data/partial_surface_effect_lead_packet.csv; next digitize full thrust/power curves and uncertainty bands from the AIAA paper or find supplementary raw tables"
"P1","surface_wall_conyers","wall force; ceiling/ground/wall moments; wall attraction","Published sidewall anchors report weak total-thrust effect but wall force/moment remain underfit.","Force/moment versus wall/ceiling/ground distance.","JIRS 2024 surface-effect supplement + Conyers context","open article supplement + dissertation PDF","https://link.springer.com/article/10.1007/s10846-024-02155-7","lateral force, wall moment, thrust delta versus d/R or h/R","Separate wall attraction/moment from thrust-loss tuning","Vehicle scale and rig setup differ; wall force is signed and facility-dependent","Raw CSV/MAT packet done in docs/data/surface_jirs2024_effect_packet.csv and curve-fit packet done in docs/data/surface_jirs2024_curve_fit_packet.csv; next decide whether current wall force is physical attraction/moment, dirty-air gameplay, or two capped terms"
"P1","surface_airduct","wall/ceiling/ground confined flight","Need qualitative/quantitative wall-effect behavior in confined passages.","Confined-flight forces and control response near ducts/walls.","Flying in air ducts","paper","https://www.nature.com/articles/s44182-025-00032-5","wall/ceiling/ground force interpretation and distance scaling","Cross-check wall/ceiling semantics","May not expose raw tables","Use as interpretation/threshold source, not first direct fit"
"P1","vrs_shetty_selig","propwashStartDescent; propwashFullDescent; VRS buffet","Initial digitization handoff now splits mean CT loss, measured-envelope half-amplitude, J/V/vi, and timing proxies; raw/RMS fit remains missing.","CT mean, half-amplitude/RMS proxy, frequency, J or V/vi.","Shetty/Selig small-prop VRS paper","open PDF paper","https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf","figures/tables for J=-0.8..0, CT fluctuations","VRS buffet envelope and descent-rate mapping","Low precision unless figures are redigitized; not FPV flight torque","Initial packet done in docs/data/vrs_shetty_digitization_packet.csv; next replace low-precision figure rows with calibrated digitization or raw time-history RMS/PSD statistics if found"
"P1","vrs_thesis_traceability","VRS source traceability","Raw machine-readable time histories have not been found.","Thesis figures and source context for VRS tests.","Shetty UIUC IDEALS thesis page","open thesis landing page","https://www.ideals.illinois.edu/items/18490","thesis PDF metadata and figures","Traceability and higher-precision digitization candidate","May still lack raw time-history CSV","Check thesis appendices for tables or data links"
"P1","vrs_nasa_johnson","VRS onset/shape; normalized descent-rate regime","Need regime-level sanity separate from FPV-specific buffet torque.","Normalized VRS/descent-rate model parameters.","NASA Johnson VRS model","technical report PDF","https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf","VRS region boundaries and normalized model terms","Onset/shape prior only","Rotorcraft scale differs; not FPV propwash torque","Regime-reference packet done in docs/data/vrs_johnson_regime_packet.csv; keep using it only for onset/shape guard and continue raw Shetty/time-history search for buffet statistics"
"P1","vrs_side_by_side_2026","propwashStartDescent; propwashFullDescent; adjacent-rotor wake coupling; VRS onset","Need adjacent-rotor coupling evidence separate from isolated VRS mean-loss/buffet.","VRS onset, vortex radius, circulation versus disk-tip gap and rotation sense.","Bucherelli/Granata/Savino/Zanotti side-by-side VRS","paper + source packet","https://doi.org/10.1063/5.0311688","DR onset, Rv/R, Gamma/(Vinf R), gap/R, rotation sense","Compact-frame adjacent-propeller interaction bounds and trend checks","No public raw CSV/time histories; current racingQuad adjacent gap is outside the 0.1..1.0R tested range","Initial packet done in docs/data/side_by_side_vrs_2026_packet.csv; use as adjacent-rotor VRS trend/upper-bound and continue searching for raw time histories/RMS spectra"
"P1","motor_response_betaflight","motorTimeConstantSeconds; esc slew/fall; active braking","Public RPM logs suggest spin-up order is plausible, active braking may be too strong.","Mechanical RPM slew, eRPM unit conversion, command/RPM delay.","Betaflight PR #12562 logs","public GitHub PR attachments/decoded local data","https://github.com/betaflight/betaflight/pull/12562","RPM/eInterval frames, 50 ms slew, gyro spectrum","RPM telemetry and motor response bounds","Not controlled motor step; log-specific vehicle and firmware","Continue extending motor_response_dynamics_packet"
"P1","motor_response_tyto_protocol","motorTimeConstantSeconds; esc slew/fall; active braking","Need controlled bench step/chirp tests rather than only flight logs.","Step/chirp/flight-replay thrust stand protocol and CSV output.","Tyto Flight Stand software manual","manual/protocol lead","https://www.tytorobotics.com/blogs/manuals-and-datasheets/flight-stand-software-user-manual","CSV columns, scripted command protocol, thrust/RPM response","Define bench extraction schema and source search terms","Manual may not contain public raw tests","Search for public Flight Stand dynamic test CSVs"
"P1","motor_response_open_bench","motorTimeConstantSeconds; esc slew/fall; thrust/current curve; active braking","Controlled FPV bench raw step data are sparse; an adjacent open bench packet now gives 7-inch static/slew evidence plus PropBench/Vayu protocol schema, but not direct 5-inch Q/T.","Bench CSV time series with thrust, RPM, current, voltage, command timestamps, and torque at high RPM.","alspitz esc_test + fpv-geek PropBench + VayuESC Studio","open GitHub raw data + bench software","https://github.com/alspitz/esc_test","RCBenchmark RPM/thrust/current samples, AutoQuad duty/RPM logs, PropBench and Vayu CSV schema/test timings","Adjacent static thrust/RPM/current/slew envelope and reproducible FPV bench protocol","7-inch prop; RCBenchmark command timestamps absent; high-RPM torque fields empty; Vayu has no public raw runs and torque integration is future work; not forward flow","Initial packet done in docs/data/esc_test_propbench_packet.csv; next find direct 5-inch FPV PropBench/Tyto/Vayu CSV with command timestamps and high-RPM torque/current"
"P1","static_prop_mendeley_30in_tyto","thrustCoefficient; yawTorquePerThrustMeter; electrical/mechanical power consistency; thrust-stand noise schema","Need open raw Flight Stand data with torque/RPM/power and known sample rate to validate static hover fitting and measurement-noise handling.","100 Hz XLS files, AVG/STD/MIN/MAX workbooks, RPM, thrust, torque, current, voltage, electrical power.","Mendeley 30-Inch Propellers Performance for UAVs","open Mendeley dataset","https://data.mendeley.com/datasets/69hhwc3fd3/1","35 raw 60s XLS files, 20 summary XLSX files, 5 propellers, 500..3500 rpm","Static hover curve, Flight Stand schema, Q/T, power consistency, and raw measurement-noise source","30-inch single-prop hover only; no forward flow or step dynamics; too large for FPV direct coefficients","Initial packet done in docs/data/mendeley_30in_prop_stand_packet.csv; use only for large-prop static scale and schema/noise"
"P1","motor_response_wavelab_pelican","motorTimeConstantSeconds; esc slew/fall; command/RPM lag","Existing blackbox and APdrone logs mix telemetry semantics, alignment delay, and physical response; WAVELab gives a cleaner command/actual pairing but not FPV units.","100 Hz actual Motors, commanded Motors_CMD, Vicon velocity, body rates, sample rate, smoothing metadata.","WAVELab AscTec Pelican dataset","open MATLAB dataset","https://github.com/wavelab/pelican_dataset","Motors, Motors_CMD, Vicon velocity, pqr, per-flight lag and static-map tau","In-flight system-ID prior for command-to-actual response shape","Pelican platform, AscTec integer motor unit, 5-sample smoothing; not FPV mechanical RPM or controlled bench step","Initial packet done in docs/data/wavelab_pelican_motor_response_packet.csv; next find FPV bench step/chirp data"
"P1","motor_response_nanodrone_sysid","motorTimeConstantSeconds; thrustCoefficient; torque allocation semantics; system-ID evaluation horizon","Need synchronized motor-rad/s inputs and full-state outputs to validate omega^2 thrust semantics and trajectory-generalization workflow.","100 Hz full-state flight CSVs, body acceleration, body angular rates, and four motor angular velocities in rad/s.","Nano-Quadrotor System Identification Benchmark","open GitHub dataset + paper","https://github.com/idsia-robotics/nanodrone-sysid-benchmark","15 CSVs, 75,096 rows, 13D state, body acceleration, motor rad/s inputs, source PhysQuadModel Kt/Kc constants","Validate motor input units, omega^2 thrust semantics, and system-ID benchmark workflow","Crazyflie 2.1 nano-scale; not 5-inch FPV; torque proxy fit is noisy/coordinate-sensitive","Initial packet done in docs/data/nanodrone_sysid_packet.csv; use thrust Kt fit as semantic check and keep torque rows as caveats"
"P1","vibration_uav_realistic","gyroNoiseStdDev; accel noise; rotor damage; vibration envelope","Current noise is much higher than electronics-only IMU; source semantics need separation.","Fault class amplitude ratios from real mission logs.","UAV Realistic Fault Dataset","open GitHub dataset","https://github.com/tiiuae/UAV-Realistic-Fault-Dataset","SensorCombined, raw IMU, AudioBuffer fault-class aggregates","Frame vibration and broken-prop envelope","Flight-phase and sensor-placement coupled","Use packet rows; do not fit bare IMU noise"
"P1","vibration_dronepropb","rotor damage; blade-pass vibration; fault severity","Need more severity/speed/fault-type structure than DJI Mini 2 alone.","Ground vibration spectra across fault types and speeds.","DronePropB","open Mendeley dataset","https://data.mendeley.com/datasets/xkvfjmm8zg","fault type, severity, speed, vibration channels","Fault amplitude and spectral feature packet","Ground rig not flight; unit/sensor calibration audit needed","Initial C3 and 26-file stratified packets done in docs/data/dronepropb_sample_packet.csv and docs/data/dronepropb_stratified_vibration_packet.csv; next mirror full archive or fit conditional curves keyed by speed/channel/fault type"
"P1","vibration_dji_fault","rotor damage; blade-pass aliasing; vibration amplitude","DJI Mini 2 sample rate aliases current racingQuad BPF, but fault signatures are useful.","Raw multiaxial vibration spectra and healthy/fault ratios.","DJI Mini 2 blade-fault vibration benchmark","open Scientific Data article","https://www.nature.com/articles/s41597-025-05692-4","sample rate, PSD peaks, RMS/band ratios","Fault feature validation and alias bookkeeping","Not direct FPV 5-inch notch-frequency source","Keep sample-rate and alias columns in packet"
"P1","vibration_padre","rotor damage; vibration features","Need independent prop-fault feature-scale ratios.","FFT feature matrices and fault labels.","PADRE UAV measurement repository lead","paper/repository lead","https://d-nb.info/1344245242/34","FFT ACCEL_X/Y/Z feature ratios, vehicle labels","Second independent fault-feature anchor","Features may be normalized/preprocessed, not physical acceleration units","Use only normalized feature ratios unless raw units found"
"P2","rain_heavy_icas","wetness thrust loss; rain mass-flux","Current Java full-wetness loss is near ICAS heavy-rain order; accumulation/decay remains weak.","CT loss versus LWC, droplet/rain condition, RPM.","ICAS 2020 quadrotor adverse-situation CFD","open conference paper PDF","https://www.icas.org/icas_archive/ICAS2020/data/papers/ICAS2020_0482_paper.pdf","LWC, rpm, CT change in heavy rain and gust cases","Rain thrust-loss order of magnitude","CFD, not wet-prop bench or accumulation data","Keep ordinary rain separate from icing"
"P2","icing_rotor_mdpi","icing; future frozen contamination","Do not use ordinary rain coefficients for icing behavior.","CT/CQ degradation versus icing exposure time, temperature, LWC.","Experimental apparatus for icing tests of low-altitude hovering rotors","open paper","https://www.mdpi.com/2504-446X/6/3/68","temperature, LWC, exposure time, CT/CQ/C+Q/P+ rates, endpoint projections","Future icing model source, not current rain fit","Icing is different physics from water wetness","Initial packet done in docs/data/icing_rotor_mdpi_packet.csv; keep separate from rain/wetness and model as frozen contamination with exposure-time and temperature gates"
"P2","apdrone_exact_powertrain","apDrone thrustCoefficient; Q/T; current curve","Exact YSIDO 2507 + Foxeer Donut 5145 bench curve still missing, but static scale is supported by proxies.","Exact motor+prop thrust/RPM/current/voltage/torque table.","YSIDO/Foxeer public pages; Tyto/MQTB fallback","product/bench-data search lead","https://database.tytorobotics.com/","thrust, RPM, current, voltage, torque, prop/motor metadata","Refine APdrone static powertrain if exact combo appears","Exact combo may not be public; image-derived rows need uncertainty tags","Continue exact-combo search; otherwise preserve fallback"
"P2","coaxial_allocation_mapping","coaxial wake loss; command-map allocation; rotor order","New Dexterity z/D=0.72 prior exists, but left/right convention must map to upper/lower rotors.","Benchmark channel convention, command bounds, upper/lower rotor order.","New Dexterity Coaxial Benchmarking Platform","open GitHub repo + raw data archive","https://github.com/newdexterity/Coaxial-Benchmarking-Platform","Data.rar CSV maps, channel labels, z/D, PWM, thrust, torque, RPM","X8 mixer/allocation prior","Measured prop diameters are larger than current simulated rotor; convention mismatch risk","Verify channel mapping before runtime tuning"
"P2","large_prop_geometry","heavyLift blade pitch/chord; windmilling; stall geometry","Default P/D=0.85 is OK for 5-inch but too high for 10-inch lift presets.","10-inch prop pitch/chord station geometry and official pitch labels.","UIUC geometry files and official Gemfan/HQ prop data","open data + product specs","https://m-selig.ae.illinois.edu/props/propDB.html","r/R, c/R, beta, label pitch, mass","Explicit geometry for large-lift presets","Not every current prop family has exact geometry","Use prop_pitch_geometry_packet to set overrides"
