row_type,scenario_name,preset_name,blocker_count,source_license_review_blocker,raw_row_import_blocker,dataset_fit_review_blocker,blade_count_coverage_blocker,geometry_coverage_blocker,ct_cp_fit_blocker,geometry_fit_blocker,simulation_fit_blocker,playable_reference_review_blocker,runtime_coupling_leak_blocker,gameplay_auto_apply_leak_blocker,simulation_fit_ready,playable_reference_export_allowed,next_required_action,status,message
propeller_archive_fit_blocker_preset,reviewed_imported_with_coverage_gaps,heavyLift,3,false,false,false,false,true,false,true,true,false,false,false,false,false,add-heavy-lift-geometry-match-or-reviewed-surrogate,BLOCKED,preset-fit-blockers-open
propeller_archive_fit_blocker_preset,synthetic_full_reviewed_fit_target,racingQuad,0,false,false,false,false,false,false,false,false,false,false,false,true,true,fit-readiness-blockers-clear,READY,preset-fit-blockers-clear
propeller_archive_fit_blocker_preset,synthetic_full_reviewed_fit_target,apDrone,0,false,false,false,false,false,false,false,false,false,false,false,true,true,fit-readiness-blockers-clear,READY,preset-fit-blockers-clear
propeller_archive_fit_blocker_preset,synthetic_full_reviewed_fit_target,cinewhoop,0,false,false,false,false,false,false,false,false,false,false,false,true,true,fit-readiness-blockers-clear,READY,preset-fit-blockers-clear
propeller_archive_fit_blocker_preset,synthetic_full_reviewed_fit_target,heavyLift,0,false,false,false,false,false,false,false,false,false,false,false,true,true,fit-readiness-blockers-clear,READY,preset-fit-blockers-clear
propeller_archive_fit_blocker_summary,all,scenario_count,3,false,false,false,false,false,false,false,false,false,false,false,false,false,inspect-fit-blocker-report,TRIAGED,three readiness scenarios are decomposed
propeller_archive_fit_blocker_summary,all,ready_scenario_count,1,false,false,false,false,false,false,false,false,false,false,false,false,false,fit-readiness-blockers-clear,TRIAGED,only synthetic full-reviewed target clears blockers
propeller_archive_fit_blocker_summary,all,blocked_scenario_count,2,false,false,false,false,false,false,false,false,false,false,false,false,false,inspect-fit-blocker-report,TRIAGED,current and reviewed-gap scenarios remain blocked
propeller_archive_fit_blocker_summary,all,max_scenario_blocker_count,8,false,false,false,false,false,false,false,false,false,false,false,false,false,review-source-license-before-importing-raw-rows,TRIAGED,current source-boundary scenario has the widest blocker set
propeller_archive_fit_blocker_summary,all,source_license_review_blocker_scenario_count,1,true,false,false,false,false,false,false,false,false,false,false,false,false,review-source-license-before-importing-raw-rows,TRIAGED,current triage requires source/license review
propeller_archive_fit_blocker_summary,all,raw_row_import_blocker_scenario_count,1,false,true,false,false,false,false,false,false,false,false,false,false,false,import-reviewed-raw-rows-into-offline-fitting-pipeline,TRIAGED,current triage requires reviewed raw-row import
propeller_archive_fit_blocker_summary,all,dataset_fit_review_blocker_scenario_count,1,false,false,true,false,false,false,false,false,false,false,false,false,false,review-archive-schema-and-fitting-method-before-curve-fit,TRIAGED,current triage requires fitting-method review
propeller_archive_fit_blocker_summary,all,blade_coverage_blocker_scenario_count,2,false,false,false,true,false,false,false,false,false,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,TRIAGED,current and reviewed-gap scenarios expose cinewhoop blade-count mismatch
propeller_archive_fit_blocker_summary,all,geometry_coverage_blocker_scenario_count,2,false,false,false,false,true,false,false,false,false,false,false,false,false,add-heavy-lift-geometry-match-or-reviewed-surrogate,TRIAGED,current and reviewed-gap scenarios expose heavyLift geometry gap
propeller_archive_fit_blocker_summary,all,playable_reference_review_blocker_preset_count,2,false,false,false,false,false,false,false,false,true,false,false,true,false,review-compact-reference-before-playable-handoff,TRIAGED,racingQuad and apDrone fit rows would still need compact reference review
propeller_archive_fit_blocker_summary,all,runtime_coupling_leak_scenario_count,0,false,false,false,false,false,false,false,false,false,false,false,false,false,fit-readiness-blockers-clear,READY,no scenario opens runtime coupling
propeller_archive_fit_blocker_summary,all,gameplay_auto_apply_leak_scenario_count,0,false,false,false,false,false,false,false,false,false,false,false,false,false,fit-readiness-blockers-clear,READY,no scenario opens gameplay auto-apply
propeller_archive_fit_blocker_method,all,priority_order,0,false,false,false,false,false,false,false,false,false,false,false,false,false,review-source-license-before-importing-raw-rows,TRIAGED,next action priority is source license then raw import then fit review then blade coverage then geometry coverage then CT/CP readiness then geometry readiness then simulation fit then playable reference review then leak closure
