row_type,preset_name,case_name,status,metric,value,unit,performance_match_id,query_advance_ratio_j,query_rpm,inside_lookup_domain,minimum_performance_neighbor_rows,available_rectangular_neighbor_rows,available_nonstatic_neighbor_rows,reviewed_neighbor_binding_ready,scattered_fit_required,post_review_ct_cp_j_lookup_allowed,post_review_full_simulation_lookup_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_archive_lookup_grid_query,racingQuad,high_j_extrapolation_probe,EXTRAPOLATION_REJECTED,available_rectangular_neighbor_rows,0,count,da4052 5.0x3.75 - 3,0.93472,7946.7,false,0,0,0,false,false,true,false,false,false,reject-query-until-reviewed-extrapolation-policy,query outside J domain remains rejected
propeller_archive_ct_cp_j_archive_lookup_grid_query,apDrone,static_anchor_low_rpm,NEIGHBOR_BINDING_READY_AFTER_REVIEW,available_rectangular_neighbor_rows,2,count,da4052 5.0x3.75 - 3,0.0,1477.8,true,1,2,0,true,false,true,true,false,false,ready-for-reviewed-neighbor-binding,static anchor can bind after review
propeller_archive_ct_cp_j_archive_lookup_grid_query,apDrone,mid_domain_mid_rpm,RECTANGULAR_GRID_MISSING,available_rectangular_neighbor_rows,2,count,da4052 5.0x3.75 - 3,0.4064,4712.25,true,4,2,0,false,true,true,true,false,false,fit-scattered-ct-cp-j-surface-before-direct-lookup-binding,mid-domain query lacks nonstatic rectangular neighbors
propeller_archive_ct_cp_j_archive_lookup_grid_query,apDrone,high_domain_max_rpm,RECTANGULAR_GRID_MISSING,available_rectangular_neighbor_rows,1,count,da4052 5.0x3.75 - 3,0.73152,7946.7,true,2,1,0,false,true,true,true,false,false,fit-scattered-ct-cp-j-surface-before-direct-lookup-binding,high-domain query lacks rectangular high-J neighbors
propeller_archive_ct_cp_j_archive_lookup_grid_query,apDrone,high_j_extrapolation_probe,EXTRAPOLATION_REJECTED,available_rectangular_neighbor_rows,0,count,da4052 5.0x3.75 - 3,0.93472,7946.7,false,0,0,0,false,false,true,false,false,false,reject-query-until-reviewed-extrapolation-policy,query outside J domain remains rejected
propeller_archive_ct_cp_j_archive_lookup_grid_query,cinewhoop,static_anchor_low_rpm,COVERAGE_BLOCKED,available_rectangular_neighbor_rows,1,count,gwsdd 3.0x3.0 - 2,0.0,2963.3,true,1,1,0,false,false,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,static row exists but blade coverage blocks use
propeller_archive_ct_cp_j_archive_lookup_grid_query,cinewhoop,mid_domain_mid_rpm,COVERAGE_BLOCKED,available_rectangular_neighbor_rows,3,count,gwsdd 3.0x3.0 - 2,0.5337,9013.15,true,4,3,2,false,false,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,neighbor rows exist but blade mismatch blocks use
propeller_archive_ct_cp_j_archive_lookup_grid_query,cinewhoop,high_domain_max_rpm,COVERAGE_BLOCKED,available_rectangular_neighbor_rows,1,count,gwsdd 3.0x3.0 - 2,0.96066,15063.0,true,2,1,1,false,false,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,high-domain row exists but blade mismatch blocks use
propeller_archive_ct_cp_j_archive_lookup_grid_query,cinewhoop,high_j_extrapolation_probe,EXTRAPOLATION_REJECTED,available_rectangular_neighbor_rows,0,count,gwsdd 3.0x3.0 - 2,1.22751,15063.0,false,0,0,0,false,false,false,false,false,false,reject-query-until-reviewed-extrapolation-policy,query outside J domain remains rejected
propeller_archive_ct_cp_j_archive_lookup_grid_query,heavyLift,static_anchor_low_rpm,NEIGHBOR_BINDING_READY_AFTER_REVIEW,available_rectangular_neighbor_rows,1,count,ancf 10.0x5.0 - 2,0.0,1060.0,true,1,1,0,true,false,true,false,false,false,ready-for-reviewed-neighbor-binding,static performance anchor can bind after review
propeller_archive_ct_cp_j_archive_lookup_grid_query,heavyLift,mid_domain_mid_rpm,RECTANGULAR_GRID_MISSING,available_rectangular_neighbor_rows,2,count,ancf 10.0x5.0 - 2,0.3335,4250.0,true,4,2,0,false,true,true,false,false,false,fit-scattered-ct-cp-j-surface-before-direct-lookup-binding,mid-domain query lacks nonstatic rectangular neighbors
propeller_archive_ct_cp_j_archive_lookup_grid_query,heavyLift,high_domain_max_rpm,RECTANGULAR_GRID_MISSING,available_rectangular_neighbor_rows,1,count,ancf 10.0x5.0 - 2,0.6003,7440.0,true,2,1,0,false,true,true,false,false,false,fit-scattered-ct-cp-j-surface-before-direct-lookup-binding,high-domain query lacks rectangular high-J neighbors
propeller_archive_ct_cp_j_archive_lookup_grid_query,heavyLift,high_j_extrapolation_probe,EXTRAPOLATION_REJECTED,available_rectangular_neighbor_rows,0,count,ancf 10.0x5.0 - 2,0.76705,7440.0,false,0,0,0,false,false,true,false,false,false,reject-query-until-reviewed-extrapolation-policy,query outside J domain remains rejected
propeller_archive_ct_cp_j_archive_lookup_grid_summary,all,topology_preset_count,4,count,all,,,,,,,,,,,false,false,false,false,inspect-preset-topology,all four current presets have aggregate topology rows
propeller_archive_ct_cp_j_archive_lookup_grid_summary,all,query_coverage_row_count,16,count,all,,,,,,,,,,,false,false,false,false,inspect-query-coverage,sixteen query rows match query envelope
propeller_archive_ct_cp_j_archive_lookup_grid_summary,all,inside_lookup_domain_query_count,12,count,all,,,,,,,,,,,false,false,false,false,inspect-inside-domain-queries,twelve rows are inside J and RPM domains
propeller_archive_ct_cp_j_archive_lookup_grid_summary,all,post_review_ct_cp_j_allowed_query_count,9,count,all,,,,,,,,,,,false,false,false,false,resolve-coverage-blockers,nine rows could be CT CP J candidates after review
propeller_archive_ct_cp_j_archive_lookup_grid_summary,all,reviewed_neighbor_binding_ready_query_count,3,count,all,,,,,,,,,,,false,false,false,false,ready-for-reviewed-neighbor-binding,only static anchors are direct-neighbor ready
propeller_archive_ct_cp_j_archive_lookup_grid_summary,all,post_review_full_simulation_neighbor_ready_query_count,2,count,all,,,,,,,,,,,false,false,false,false,resolve-heavy-lift-reviewed-geometry-before-openfoam-mesh,two full-simulation rows are direct-neighbor ready
propeller_archive_ct_cp_j_archive_lookup_grid_summary,all,scattered_fit_required_query_count,6,count,all,,,,,,,,,,,false,false,false,false,fit-scattered-ct-cp-j-surface-before-direct-lookup-binding,nonstatic eligible rows need scattered fit
propeller_archive_ct_cp_j_archive_lookup_grid_summary,all,rectangular_neighbor_missing_query_count,6,count,all,,,,,,,,,,,false,false,false,false,fit-scattered-ct-cp-j-surface-before-direct-lookup-binding,nonstatic eligible rows lack required rectangular neighbors
propeller_archive_ct_cp_j_archive_lookup_grid_summary,all,nonstatic_neighbor_missing_query_count,6,count,all,,,,,,,,,,,false,false,false,false,fit-scattered-ct-cp-j-surface-before-direct-lookup-binding,nonstatic eligible rows lack enough nonstatic neighbors
propeller_archive_ct_cp_j_archive_lookup_grid_summary,all,extrapolation_rejected_query_count,4,count,all,,,,,,,,,,,false,false,false,false,reject-query-until-reviewed-extrapolation-policy,four high-J probes remain rejected
propeller_archive_ct_cp_j_archive_lookup_grid_summary,all,coverage_blocked_query_count,3,count,all,,,,,,,,,,,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,three cinewhoop rows remain blade-count blocked
propeller_archive_ct_cp_j_archive_lookup_grid_summary,all,max_available_rectangular_neighbor_rows,3,count,all,,,,,,,,,,,false,false,false,false,inspect-cinewhoop-neighbor-shape,max observed neighbor count before coverage blockers
propeller_archive_ct_cp_j_archive_lookup_grid_summary,all,runtime_coupling_allowed_count,0,count,all,,,,,,,,,,,false,false,false,false,keep-runtime-coupling-closed,no row opens runtime coupling
propeller_archive_ct_cp_j_archive_lookup_grid_summary,all,gameplay_auto_apply_allowed_count,0,count,all,,,,,,,,,,,false,false,false,false,keep-gameplay-auto-apply-closed,no row opens gameplay auto apply
propeller_archive_ct_cp_j_archive_lookup_grid_method,all,method,READY,method_description,nonvendored-aggregate-zip-parse,audit,user_supplied_archive_zip,,,,,,,,,false,false,false,false,fit-scattered-ct-cp-j-surface-before-direct-lookup-binding,parse reviewed archive topology externally and persist only aggregate coverage counts
