row_type,scenario_name,status,metric,value,unit,result_seed_scenario,reviewed_import_ready,interpolation_policy_ready,lookup_execution_contract_ready,lookup_interpolation_executed,compact_reference_reviewed,expected_target_count,seed_row_count,ready_seed_count,pending_seed_count,unavailable_seed_count,failed_seed_count,acceptance_result_count,passed_acceptance_result_count,missing_acceptance_result_count,lookup_acceptance_ready,compact_reference_export_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,max_expected_target_count,9,count,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,feed-lookup-execution-results-into-acceptance-gate,nine expected CT CP J lookup targets
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,max_ready_seed_count,9,count,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,review-accepted-ct-cp-j-results-before-reference-export,synthetic all-ready scenario has nine ready seeds
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,max_pending_seed_count,9,count,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,authorized runs can be pending before evidence exists
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,max_unavailable_seed_count,9,count,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current state keeps nine seeds unavailable
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,max_acceptance_result_count,9,count,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,feed-lookup-execution-results-into-acceptance-gate,complete ready seed set produces nine acceptance results
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,max_passed_acceptance_result_count,9,count,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,review-accepted-ct-cp-j-results-before-reference-export,synthetic complete result set passes all acceptance guards
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,max_missing_acceptance_result_count,9,count,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,current and pending scenarios have nine missing acceptance results
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,current_ready_seed_count,0,count,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current state has no ready seeds
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,current_acceptance_result_count,0,count,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current state has no acceptance results
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,current_missing_acceptance_result_count,9,count,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current state is missing all acceptance results
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,compact_reference_export_allowed_count,0,count,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,review-accepted-ct-cp-j-results-before-reference-export,accepted handoff still needs compact reference review
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,runtime_coupling_allowed_count,0,count,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,no handoff scenario can mutate runtime physics
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,gameplay_auto_apply_allowed_count,0,count,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,no handoff scenario can auto apply gameplay tuning
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,first_handoff_ready_scenario,synthetic_all_result_seeds_ready,text,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,review-accepted-ct-cp-j-results-before-reference-export,first scenario with complete accepted results
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,first_pending_scenario,authorized_runs_pending_results,text,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,first scenario waiting for lab result evidence
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,current_status,BLOCKED,status,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current handoff remains blocked
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,next_required_action,execute-clearance-evidence-ledger-before-reviewed-payload-output,text,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current next action follows upstream result seed blocker
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_method,acceptance_handoff_rule,READY,method,result-seeds-to-acceptance-gate,text,method,false,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,aggregate only acceptance-ready result seeds and require every expected target before handoff
