row_type,name,metric,value,unit,source_file,evidence_role,status,note
propeller_archive_curve_fit_acceptance_gate_scenario,current_no_reviewed_import_no_results,failed_result_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,current_acceptance_gate,BLOCKED,no fitted results are imported
propeller_archive_curve_fit_acceptance_gate_scenario,current_no_reviewed_import_no_results,missing_result_count,24,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,current_acceptance_gate,BLOCKED,no fitted results are imported
propeller_archive_curve_fit_acceptance_gate_scenario,current_no_reviewed_import_no_results,max_weighted_rmse,0.0,ratio,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,current_acceptance_gate,BLOCKED,no fitted results are imported
propeller_archive_curve_fit_acceptance_gate_scenario,current_no_reviewed_import_no_results,curve_fit_acceptance_ready,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,current_acceptance_gate,BLOCKED,acceptance remains closed
propeller_archive_curve_fit_acceptance_gate_scenario,current_no_reviewed_import_no_results,compact_reference_export_allowed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,current_acceptance_gate,BLOCKED,compact playable reference remains closed
propeller_archive_curve_fit_acceptance_gate_scenario,reviewed_import_coverage_blocked_no_results,reviewed_import_ready,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,reviewed_import_acceptance_gate,BLOCKED,fit-input-coverage-blocked
propeller_archive_curve_fit_acceptance_gate_scenario,reviewed_import_coverage_blocked_no_results,fit_input_coverage_ready,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,reviewed_import_acceptance_gate,BLOCKED,fit-input-coverage-blocked
propeller_archive_curve_fit_acceptance_gate_scenario,reviewed_import_coverage_blocked_no_results,curve_fit_executed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,reviewed_import_acceptance_gate,BLOCKED,fit-input-coverage-blocked
propeller_archive_curve_fit_acceptance_gate_scenario,reviewed_import_coverage_blocked_no_results,compact_reference_reviewed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,reviewed_import_acceptance_gate,BLOCKED,fit-input-coverage-blocked
propeller_archive_curve_fit_acceptance_gate_scenario,reviewed_import_coverage_blocked_no_results,expected_target_count,24,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,reviewed_import_acceptance_gate,BLOCKED,cinewhoop and heavyLift coverage blockers still prevent acceptance
propeller_archive_curve_fit_acceptance_gate_scenario,reviewed_import_coverage_blocked_no_results,observed_result_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,reviewed_import_acceptance_gate,BLOCKED,no fitted results are accepted
propeller_archive_curve_fit_acceptance_gate_scenario,reviewed_import_coverage_blocked_no_results,passed_result_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,reviewed_import_acceptance_gate,BLOCKED,no fitted results are accepted
propeller_archive_curve_fit_acceptance_gate_scenario,reviewed_import_coverage_blocked_no_results,failed_result_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,reviewed_import_acceptance_gate,BLOCKED,no fitted results are accepted
propeller_archive_curve_fit_acceptance_gate_scenario,reviewed_import_coverage_blocked_no_results,missing_result_count,24,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,reviewed_import_acceptance_gate,BLOCKED,no fitted results are accepted
propeller_archive_curve_fit_acceptance_gate_scenario,reviewed_import_coverage_blocked_no_results,max_weighted_rmse,0.0,ratio,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,reviewed_import_acceptance_gate,BLOCKED,no fitted results are accepted
propeller_archive_curve_fit_acceptance_gate_scenario,reviewed_import_coverage_blocked_no_results,curve_fit_acceptance_ready,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,reviewed_import_acceptance_gate,BLOCKED,acceptance remains closed
propeller_archive_curve_fit_acceptance_gate_scenario,reviewed_import_coverage_blocked_no_results,compact_reference_export_allowed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,reviewed_import_acceptance_gate,BLOCKED,compact reference review cannot open before fit quality
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_all_curve_targets_pass,reviewed_import_ready,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_acceptance_gate,READY,curve-fit-acceptance-ready
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_all_curve_targets_pass,fit_input_coverage_ready,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_acceptance_gate,READY,curve-fit-acceptance-ready
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_all_curve_targets_pass,curve_fit_executed,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_acceptance_gate,READY,curve-fit-acceptance-ready
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_all_curve_targets_pass,compact_reference_reviewed,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_acceptance_gate,READY,curve-fit-acceptance-ready
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_all_curve_targets_pass,expected_target_count,24,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_acceptance_gate,READY,all preset curve targets present
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_all_curve_targets_pass,observed_result_count,24,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_acceptance_gate,READY,all preset curve targets present
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_all_curve_targets_pass,passed_result_count,24,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_acceptance_gate,READY,all fitted curve targets pass
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_all_curve_targets_pass,failed_result_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_acceptance_gate,READY,all fitted curve targets pass
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_all_curve_targets_pass,missing_result_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_acceptance_gate,READY,all fitted curve targets pass
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_all_curve_targets_pass,max_weighted_rmse,0.75,ratio,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_acceptance_gate,READY,max passing synthetic beta error is half threshold
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_all_curve_targets_pass,curve_fit_acceptance_ready,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_acceptance_gate,READY,simulation fit evidence accepted
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_all_curve_targets_pass,compact_reference_export_allowed,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_acceptance_gate,READY,synthetic scenario includes compact reference review
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_one_curve_result_failed,reviewed_import_ready,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_failed_acceptance_gate,BLOCKED,curve-fit-result-failed
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_one_curve_result_failed,fit_input_coverage_ready,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_failed_acceptance_gate,BLOCKED,curve-fit-result-failed
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_one_curve_result_failed,curve_fit_executed,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_failed_acceptance_gate,BLOCKED,curve-fit-result-failed
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_one_curve_result_failed,compact_reference_reviewed,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_failed_acceptance_gate,BLOCKED,curve-fit-result-failed
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_one_curve_result_failed,expected_target_count,24,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_failed_acceptance_gate,BLOCKED,one geometry target fails the synthetic acceptance threshold
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_one_curve_result_failed,observed_result_count,24,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_failed_acceptance_gate,BLOCKED,one geometry target fails the synthetic acceptance threshold
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_one_curve_result_failed,passed_result_count,23,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_failed_acceptance_gate,BLOCKED,one geometry target fails the synthetic acceptance threshold
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_one_curve_result_failed,failed_result_count,1,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_failed_acceptance_gate,BLOCKED,one geometry target fails the synthetic acceptance threshold
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_one_curve_result_failed,missing_result_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_failed_acceptance_gate,BLOCKED,result set is complete but one target fails
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_one_curve_result_failed,max_weighted_rmse,2.25,ratio,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_failed_acceptance_gate,BLOCKED,beta distribution error exceeds threshold
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_one_curve_result_failed,curve_fit_acceptance_ready,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_failed_acceptance_gate,BLOCKED,acceptance remains closed after a failed target
propeller_archive_curve_fit_acceptance_gate_scenario,synthetic_one_curve_result_failed,compact_reference_export_allowed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,synthetic_failed_acceptance_gate,BLOCKED,compact reference export remains closed after a failed target
propeller_archive_curve_fit_acceptance_gate_summary,all_scenarios,scenario_count,4,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,acceptance_summary,READY,current reviewed and synthetic scenarios
propeller_archive_curve_fit_acceptance_gate_summary,all_scenarios,accepted_scenario_count,1,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,acceptance_summary,READY,only the synthetic all-pass scenario opens acceptance
propeller_archive_curve_fit_acceptance_gate_summary,all_scenarios,blocked_scenario_count,3,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,acceptance_summary,READY,current and failed scenarios remain blocked
propeller_archive_curve_fit_acceptance_gate_summary,all_scenarios,max_expected_target_count,24,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,acceptance_summary,READY,4 presets times 6 required curve families
propeller_archive_curve_fit_acceptance_gate_summary,all_scenarios,max_missing_result_count,24,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,acceptance_summary,READY,current scenarios have no fit results
propeller_archive_curve_fit_acceptance_gate_summary,all_scenarios,max_failed_result_count,1,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,acceptance_summary,READY,failed synthetic scenario has one failed curve target
propeller_archive_curve_fit_acceptance_gate_summary,all_scenarios,max_weighted_rmse,2.25,ratio,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,acceptance_summary,READY,failed beta target exceeds threshold
propeller_archive_curve_fit_acceptance_gate_summary,all_scenarios,compact_reference_export_allowed_count,1,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,acceptance_summary,READY,only synthetic accepted and reviewed scenario exports compact reference
propeller_archive_curve_fit_acceptance_gate_summary,all_scenarios,runtime_coupling_allowed_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,acceptance_summary,READY,runtime coupling remains closed
propeller_archive_curve_fit_acceptance_gate_summary,all_scenarios,gameplay_auto_apply_allowed_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,acceptance_summary,READY,playable auto apply remains closed
propeller_archive_curve_fit_acceptance_gate_method,acceptance_thresholds,method,all-required-curves-present-and-pass,audit,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,method,READY,requires reviewed import coverage fit execution and per-curve error physical-constraint row-count thresholds
