row_type,name,source,paper,measured_channels,thrust_load_cell_capacity_kgf,thrust_precision_gf,torque_capacity_nm,torque_precision_nm,note,z_over_d_min,z_over_d_max,spacing_point_count,command_grid_points_per_spacing,points_per_rotor_set,rotor_diameter_in_examples,metric,z_over_d_center,mechanical_efficiency_gain_percent,preset,radius_m,upper_lower_separation_m,separation_over_radius,separation_over_diameter,operating_point,z_over_d,separation_m,spin_ratio,target_thrust_per_rotor_n,source_induced_velocity_m_s,axial_wake_overlap,axial_lateral_factor,wake_geometry_factor,wake_interference_intensity,wake_thrust_scale,wake_thrust_loss_percent,swirl_capture,wake_swirl_velocity_m_s,wake_swirl_ratio_tip_speed,wake_interference_vibration,wake_swirl_vibration,wake_swirl_load_factor
current_coaxial_wake_scan,coaxialX8_hover_zD_0.55,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,hover,0.55,0.12650000000000003,0.6064234288020212,8.825985000000001,9.311631346033977,1.0,1.0,1.0,0.32361945,0.928803721,7.119627900000003,0.6848992800322831,2.0638926230720895,0.03417296447146543,0.0355247052032516,0.012938224000420315,0.006834592894293086
current_coaxial_wake_scan,coaxialX8_hover_zD_0.70,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,hover,0.7,0.161,0.6064234288020212,8.825985000000001,9.311631346033977,0.9866876408715252,1.0,0.9866876408715252,0.3193113116606405,0.9297515114346591,7.024848856534094,0.6848992800322831,2.036417343271144,0.033718041695936674,0.03493454514950215,0.012796818498834716,0.006743608339187335
current_coaxial_wake_scan,coaxialX8_hover_zD_0.72,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,hover,0.72,0.1656,0.6064234288020212,8.825985000000001,9.311631346033977,0.9830095792637115,1.0,0.9830095792637115,0.3181210193860537,0.9300133757350681,6.998662426493185,0.6848992800322831,2.028826219051573,0.033592351427288995,0.03477183980570614,0.012757689290120172,0.0067184702854578
current_coaxial_wake_scan,coaxialX8_hover_zD_0.85,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,hover,0.85,0.1955,0.6064234288020212,8.825985000000001,9.311631346033977,0.9492862509391435,1.0,0.9492862509391435,0.3072074944214876,0.9324143512272727,6.7585648772727325,0.6848992800322831,1.9592248904970588,0.03243992532659397,0.03328717744769209,0.012397678282030207,0.006487985065318794
current_coaxial_wake_scan,coaxialX8_hover_zD_1.00,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,hover,1.0,0.23,0.6064234288020212,8.825985000000001,9.311631346033977,0.8915993613824192,1.0,0.8915993613824192,0.2885388949509297,0.9365214431107954,6.347855688920456,0.6848992800322831,1.8401653446929613,0.030468593299302682,0.03077816110643458,0.011776435555180353,0.006093718659860537
current_coaxial_wake_scan,coaxialX8_mid_0p75_zD_0.10,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,mid_0p75,0.1,0.023000000000000003,0.75,13.5,11.516249501312483,0.2,1.0,0.2,0.09899999999999999,0.97822,2.178000000000002,0.7050000000000001,0.8037766339441048,0.010760826805239659,0.009995775610891839,0.006203740261706243,0.0021521653610479317
current_coaxial_wake_scan,coaxialX8_mid_0p75_zD_0.25,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,mid_0p75,0.25,0.0575,0.75,13.5,11.516249501312483,1.0,1.0,1.0,0.49499999999999994,0.8911,10.89,0.7050000000000001,4.0188831697205245,0.0538041340261983,0.07473585438553958,0.023217155494398067,0.01076082680523966
current_coaxial_wake_scan,coaxialX8_mid_0p75_zD_0.40,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,mid_0p75,0.4,0.09200000000000001,0.75,13.5,11.516249501312483,1.0,1.0,1.0,0.49499999999999994,0.8911,10.89,0.7050000000000001,4.0188831697205245,0.0538041340261983,0.07473585438553958,0.023217155494398067,0.01076082680523966
current_coaxial_wake_scan,coaxialX8_mid_0p75_zD_0.55,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,mid_0p75,0.55,0.12650000000000003,0.75,13.5,11.516249501312483,1.0,1.0,1.0,0.49499999999999994,0.8911,10.89,0.7050000000000001,4.0188831697205245,0.0538041340261983,0.07473585438553958,0.023217155494398067,0.01076082680523966
current_coaxial_wake_scan,coaxialX8_mid_0p75_zD_0.70,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,mid_0p75,0.7,0.161,0.75,13.5,11.516249501312483,0.9866876408715252,1.0,0.9866876408715252,0.4884103822314049,0.8925497159090909,10.745028409090907,0.7050000000000001,3.9653823536698214,0.053087874071444954,0.0734942926163755,0.022963408649547525,0.010617574814288992
current_coaxial_wake_scan,coaxialX8_mid_0p75_zD_0.72,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,mid_0p75,0.72,0.1656,0.75,13.5,11.516249501312483,0.9830095792637115,1.0,0.9830095792637115,0.48658974173553715,0.8929502568181819,10.704974318181815,0.7050000000000001,3.9506006537769833,0.052889979151741526,0.07315199778768894,0.022893192758783164,0.010577995830348305
current_coaxial_wake_scan,coaxialX8_mid_0p75_zD_0.85,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,mid_0p75,0.85,0.1955,0.75,13.5,11.516249501312483,0.9492862509391435,1.0,0.9492862509391435,0.469896694214876,0.8966227272727273,10.337727272727271,0.7050000000000001,3.815070537146418,0.051075524674756984,0.0700286077647346,0.022247166568925253,0.010215104934951397
current_coaxial_wake_scan,coaxialX8_mid_0p75_zD_1.00,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,mid_0p75,1.0,0.23,0.75,13.5,11.516249501312483,0.8915993613824192,1.0,0.8915993613824192,0.44134168388429745,0.9029048295454546,9.709517045454541,0.7050000000000001,3.583233667593372,0.04797173153749249,0.06475021125564838,0.021132369902198175,0.009594346307498499
current_coaxial_wake_scan,coaxialX8_max_zD_0.10,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,max,0.1,0.023000000000000003,1.0,24.0,15.354999335083312,0.2,1.0,0.2,0.176,0.96128,3.8719999999999977,0.7400000000000001,1.9998351134012506,0.02008009288794918,0.027359116988242962,0.013795797321000561,0.004016018577589836
current_coaxial_wake_scan,coaxialX8_max_zD_0.25,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,max,0.25,0.0575,1.0,24.0,15.354999335083312,1.0,1.0,1.0,0.8799999999999999,0.8064,19.36,0.7400000000000001,8.0,0.08032699397420881,0.20455711121828948,0.04299969343437627,0.016065398794841763
current_coaxial_wake_scan,coaxialX8_max_zD_0.40,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,max,0.4,0.09200000000000001,1.0,24.0,15.354999335083312,1.0,1.0,1.0,0.8799999999999999,0.8064,19.36,0.7400000000000001,8.0,0.08032699397420881,0.20455711121828948,0.04299969343437627,0.016065398794841763
current_coaxial_wake_scan,coaxialX8_max_zD_0.55,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,max,0.55,0.12650000000000003,1.0,24.0,15.354999335083312,1.0,1.0,1.0,0.8799999999999999,0.8064,19.36,0.7400000000000001,8.0,0.08032699397420881,0.20455711121828948,0.04299969343437627,0.016065398794841763
current_coaxial_wake_scan,coaxialX8_max_zD_0.70,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,max,0.7,0.161,1.0,24.0,15.354999335083312,0.9866876408715252,1.0,0.9866876408715252,0.868285123966942,0.8089772727272728,19.10227272727272,0.7400000000000001,8.0,0.08032699397420881,0.20115887230087356,0.04299969343437627,0.016065398794841763
current_coaxial_wake_scan,coaxialX8_max_zD_0.72,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,max,0.72,0.1656,1.0,24.0,15.354999335083312,0.9830095792637115,1.0,0.9830095792637115,0.865048429752066,0.8096893454545455,19.03106545454545,0.7400000000000001,8.0,0.08032699397420881,0.20022198809828085,0.04299969343437627,0.016065398794841763
current_coaxial_wake_scan,coaxialX8_max_zD_0.85,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,max,0.85,0.1955,1.0,24.0,15.354999335083312,0.9492862509391435,1.0,0.9492862509391435,0.8353719008264462,0.8162181818181818,18.378181818181815,0.7400000000000001,8.0,0.08032699397420881,0.19167305739351342,0.04299969343437627,0.016065398794841763
current_coaxial_wake_scan,coaxialX8_max_zD_1.00,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,max,1.0,0.23,1.0,24.0,15.354999335083312,0.8915993613824192,1.0,0.8915993613824192,0.7846074380165289,0.8273863636363636,17.261363636363637,0.7400000000000001,8.0,0.08032699397420881,0.17722572751897472,0.04299969343437627,0.016065398794841763
