row_type,name,metric,value,unit,source_field,target_field,required,current_satisfied,reviewed_import_satisfied,synthetic_target_satisfied,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,status,note
propeller_archive_fit_import_field,fit_target,coverage_blocker,coverageBlocker,text,coverageBlocker,coverage_blocker,true,false,true,true,false,false,resolve-cinewhoop-blade-count-and-heavy-lift-geometry-coverage,FIELD_CONTRACT,reviewed gap handoff
propeller_archive_fit_import_field,fit_target,next_required_action,nextRequiredAction,text,nextRequiredAction,next_required_action,true,false,true,true,false,false,resolve-cinewhoop-blade-count-and-heavy-lift-geometry-coverage,FIELD_CONTRACT,deterministic fitting queue
propeller_archive_fit_import_preset,racingQuad,fit_input_ready_after_review,true,boolean,da4052 5.0x3.75 - 3,da4052 5.0x3.75,true,false,true,true,false,false,ready-for-reviewed-fit-import,FIT_INPUT_CONTRACT,performance_rows=63 static_rows=14 advance_ratio_max=0.8128 geometry_stations=18
propeller_archive_fit_import_preset,apDrone,fit_input_ready_after_review,true,boolean,da4052 5.0x3.75 - 3,da4052 5.0x3.75,true,false,true,true,false,false,ready-for-reviewed-fit-import,FIT_INPUT_CONTRACT,performance_rows=63 static_rows=14 advance_ratio_max=0.8128 geometry_stations=18
propeller_archive_fit_import_preset,cinewhoop,fit_input_ready_after_review,false,boolean,gwsdd 3.0x3.0 - 2,gwsdd 3.0x3.0,true,false,false,true,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,BLOCKED,performance_rows=103 static_rows=13 advance_ratio_max=1.0674 geometry_stations=18 target_blades=3 matched_blades=2
propeller_archive_fit_import_preset,heavyLift,geometry_station_count,0,count,ancf 10.0x5.0 - 2,missing-reviewed-geometry-match,true,false,false,true,false,false,add-heavy-lift-geometry-match-or-reviewed-surrogate,BLOCKED,performance_rows=128 static_rows=14 advance_ratio_max=0.667 geometry_stations=0
propeller_archive_fit_import_stage,source_license_review,stage,true,boolean,source_license,source_license_review,true,false,true,true,false,false,review-source-license-before-importing-raw-rows,BLOCKED,required before any raw-row import
propeller_archive_fit_import_stage,reviewed_raw_row_import,stage,true,boolean,archive_csv,offline_fit_rows,true,false,true,true,false,false,import-reviewed-raw-rows-into-offline-fitting-pipeline,BLOCKED,reviewed raw rows feed offline fitting only
propeller_archive_fit_import_stage,schema_header_validation,stage,true,boolean,csv_headers,normalized_schema,true,false,true,true,false,false,validate-performance-and-geometry-headers,BLOCKED,requires exact performance and geometry headers
propeller_archive_fit_import_stage,unit_normalization,stage,true,boolean,archive_units,si_fit_units,true,false,true,true,false,false,normalize-diameter-pitch-rpm-and-coefficient-units,BLOCKED,normalizes inches rpm coefficients and station ratios
propeller_archive_fit_import_stage,finite_numeric_validation,stage,true,boolean,archive_values,finite_fit_rows,true,false,true,true,false,false,reject-nonfinite-performance-and-geometry-rows,BLOCKED,rejects NaN and invalid numeric rows before fitting
propeller_archive_fit_import_stage,preset_coverage_resolution,stage,true,boolean,preset_matches,fit_target_coverage,true,false,false,true,false,false,resolve-cinewhoop-blade-count-and-heavy-lift-geometry-coverage,BLOCKED,reviewed import still has cinewhoop and heavyLift gaps
propeller_archive_fit_import_stage,compact_reference_review,stage,true,boolean,fit_output,playable_reference,true,false,false,true,false,false,review-compact-reference-before-playable-handoff,BLOCKED,compact reference review required before playable use
propeller_archive_fit_import_stage,runtime_leak_guard,stage,true,boolean,fit_contract,runtime_boundary,true,true,true,true,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,runtime coupling and gameplay auto-apply stay closed
propeller_archive_fit_import_summary,all,field_contract_count,26,count,fit_import_contract,field_contracts,true,true,true,true,false,false,validate-performance-and-geometry-headers,TRIAGED,performance geometry and fit-target fields
propeller_archive_fit_import_summary,all,preset_input_contract_count,4,count,fit_import_contract,preset_contracts,true,true,true,true,false,false,resolve-cinewhoop-blade-count-and-heavy-lift-geometry-coverage,TRIAGED,current four presets are represented
propeller_archive_fit_import_summary,all,import_stage_count,8,count,fit_import_contract,import_stages,true,true,true,true,false,false,review-source-license-before-importing-raw-rows,TRIAGED,source import schema coverage handoff and leak stages
propeller_archive_fit_import_summary,all,current_raw_import_allowed,false,boolean,fit_import_contract,current_gate,true,false,false,false,false,false,review-source-license-before-importing-raw-rows,BLOCKED,current source boundary is closed
propeller_archive_fit_import_summary,all,reviewed_raw_import_contract_ready,true,boolean,fit_import_contract,reviewed_import_gate,true,false,true,true,false,false,import-reviewed-raw-rows-into-offline-fitting-pipeline,TRIAGED,source-reviewed raw import can satisfy schema gates
propeller_archive_fit_import_summary,all,reviewed_fit_input_ready,false,boolean,fit_import_contract,reviewed_fit_gate,true,false,false,true,false,false,resolve-cinewhoop-blade-count-and-heavy-lift-geometry-coverage,BLOCKED,coverage gaps block full fit input after import
propeller_archive_fit_import_summary,all,synthetic_fit_input_ready,true,boolean,fit_import_contract,synthetic_target,true,false,false,true,false,false,fit-ct-cp-j-re-and-blade-geometry-curves,READY_TARGET,synthetic target documents full reviewed coverage state
propeller_archive_fit_import_summary,all,post_review_coverage_blocker_preset_count,2,count,fit_import_contract,preset_contracts,true,false,false,true,false,false,resolve-cinewhoop-blade-count-and-heavy-lift-geometry-coverage,TRIAGED,cinewhoop and heavyLift remain blocked after raw import
propeller_archive_fit_import_summary,all,runtime_coupling_allowed_preset_count,0,count,fit_import_contract,runtime_boundary,true,true,true,true,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,no preset allows runtime coupling
propeller_archive_fit_import_summary,all,gameplay_auto_apply_allowed_preset_count,0,count,fit_import_contract,playable_boundary,true,true,true,true,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,no preset allows gameplay auto-apply
propeller_archive_fit_import_method,all,method,contract_only,text,fit_import_contract,offline_pipeline,true,false,true,true,false,false,review-source-license-before-importing-raw-rows,TRIAGED,after source review import raw rows offline validate headers normalize units reject nonfinite rows resolve preset coverage then fit CT CP J Reynolds and geometry curves without runtime coupling
